Id	Score	URL	NormURL	ContentSpace
art	0.480518	http://necolebitchie.com/2013/07/savannah-brinson-turns-up-for-her-bachelorette-party-in-vegas/dd56d18ae6ef11e280dd22000a9f3cd5_7/	http://necolebitchie.com/2013/07/savannah-brinson-turns-up-for-her-bachelorette-party-in-vegas/dd56d18ae6ef11e280dd22000a9f3cd5_7/	Sovrn
music	0.721565	http://necolebitchie.com/2013/07/savannah-brinson-turns-up-for-her-bachelorette-party-in-vegas/savannah-celebrates-in-las-vegas-1/	http://necolebitchie.com/2013/07/savannah-brinson-turns-up-for-her-bachelorette-party-in-vegas/savannah-celebrates-in-las-vegas-1/	Sovrn
jewelry	0.525576	http://necolebitchie.com/2012/03/new-video-shanell-somebody-that-i-used-to-know/	http://necolebitchie.com/2012/03/new-video-shanell-somebody-that-i-used-to-know/	Sovrn
society	0.612697	http://necolebitchie.com/2013/08/adrienne-bailon-elle-varner-bridget-kelly-more-attend-pre-vma-pamper-party/adrienne-bailon-host-pynk-magazine-vma-party-stylist-kim-v-adrienne-bailon-bridget-kelly-miss-diddy/	http://necolebitchie.com/2013/08/adrienne-bailon-elle-varner-bridget-kelly-more-attend-pre-vma-pamper-party/adrienne-bailon-host-pynk-magazine-vma-party-stylist-kim-v-adrienne-bailon-bridget-kelly-miss-diddy/	Sovrn
finance	0.406819	http://ana-white.com/2011/06/beefed-outdoor-storage-bench	http://ana-white.com/2011/06/beefed-outdoor-storage-bench	Sovrn
home	0.478405	http://ana-white.com/2013/03/simple-outdoor-chair-larger-arms	http://ana-white.com/2013/03/simple-outdoor-chair-larger-arms	Sovrn
u-s-states	0.797712	http://celebslam.celebuzz.com/2012/08/index8.php	http://celebslam.celebuzz.com/2012/08/index8.php	Sovrn
fashion-beauty	0.527714	http://dc.wikia.com/wiki/June_Moone_(New_Earth)	http://dc.wikia.com/wiki/June_Moone_(New_Earth)	Sovrn
microsoft	0.681454	http://fallout.wikia.com/wiki/Children_of_the_Cathedral	http://fallout.wikia.com/wiki/Children_of_the_Cathedral	Sovrn
art	0.474848	http://fallout.wikia.com/wiki/Wasteland_Survival_Guide_(Fallout_3)	http://fallout.wikia.com/wiki/Wasteland_Survival_Guide_(Fallout_3)	Sovrn
business	0.54877	http://funnyjunk.com/Last+year+5+vs+1+multiplayer+survival/funny-pictures/5374995/	http://funnyjunk.com/Last+year+5+vs+1+multiplayer+survival/funny-pictures/5374995/	Sovrn
internet	0.610242	http://funnyjunk.com/What+would+be+your+meme/funny-pictures/5375092/	http://funnyjunk.com/What+would+be+your+meme/funny-pictures/5375092/	Sovrn
recreation	0.479292	http://heavy.com/entertainment/2013/07/out-of-the-furnace-official-trailer-with-christian-bale-casey-affleck-william-dafoe/	http://heavy.com/entertainment/2013/07/out-of-the-furnace-official-trailer-with-christian-bale-casey-affleck-william-dafoe/	Sovrn
society	0.560985	http://nameberry.com/babyname/Darnell	http://nameberry.com/babyname/Darnell	Sovrn
holidays	0.779689	http://paleomg.com/nikkis-coconut-butter-giveaway/	http://paleomg.com/nikkis-coconut-butter-giveaway/	Sovrn
entertaining	0.738759	http://paleomg.com/tag/chili-powder/	http://paleomg.com/tag/chili-powder/	Sovrn
tv-shows	0.544784	http://sportspyder.com/teams/charlotte-hornets/articles/13426314	http://sportspyder.com/teams/charlotte-hornets/articles/13426314	Sovrn
technology-companies	0.523643	http://sportspyder.com/teams/charlotte-hornets/articles/13426314	http://sportspyder.com/teams/charlotte-hornets/articles/13426314	Sovrn
family-parenting	0.689714	http://starcasm.net/archives/194480	http://starcasm.net/archives/194480	Sovrn
tv-shows	0.689714	http://starcasm.net/archives/194480	http://starcasm.net/archives/194480	Sovrn
business	0.484232	http://starcasm.net/archives/235575	http://starcasm.net/archives/235575	Sovrn
technology	0.540852	http://starcasm.net/archives/248609	http://starcasm.net/archives/248609	Sovrn
hobbies	0.486933	http://starcasm.net/archives/248609	http://starcasm.net/archives/248609	Sovrn
fashion-beauty	0.871304	http://worthly.com/most-expensive/watches/keyword-breitling-super-avenger/	http://worthly.com/most-expensive/watches/keyword-breitling-super-avenger/	Sovrn
software	0.60896	http://yugioh.wikia.com/wiki/Blue-Winged_Crown	http://yugioh.wikia.com/wiki/Blue-Winged_Crown	Sovrn
actors	0.480088	http://411mania.com/movies/gossip-oksana-grigorieva-denies-extortion-charges/	http://411mania.com/movies/gossip-oksana-grigorieva-denies-extortion-charges/	Sovrn
fitness-nutrition	0.686984	http://411mania.com/movies/what-this-column-11-12-07-issue-82/	http://411mania.com/movies/what-this-column-11-12-07-issue-82/	Sovrn
